TIME_PERIOD,Bioenergy,Charcoal,Crude oil,Electricity,Fossil energy,Geothermal,Heat,Hydro,Lignite,Natural gas,Natural gas liquids,Nuclear heat,Oil and petroleum products (excluding biofuel portion),Peat,Primary solid biofuels,Renewables and biofuels,Solar thermal,Solid fossil fuels,"Tide, wave, ocean",Wind
2000,6196.341,0.0,108158.598,262.855,289604.472,0.0,-3.439,1868.616,37183.025,71853.16,0.0,43750.473,131076.495,1.6,4691.745,8983.305,110.92,84827.853,0.0,804.127
2001,6635.704,0.0,107769.626,314.445,298355.606,0.0,-3.63,1954.686,39198.878,75590.95,0.0,44188.736,133815.062,2.0,4710.089,9636.372,139.295,86504.676,0.0,899.054
2002,7258.316,0.0,108141.423,859.673,290852.783,0.0,-3.63,1988.306,39827.948,75570.679,0.0,42521.582,128562.203,2.0,4702.255,10782.731,164.23,84104.575,0.0,1363.371
2003,10257.485,101.653,111561.897,-281.083,288884.035,38.43,-3.63,1575.322,39315.314,75875.156,0.0,42583.62,126968.403,2.0,7156.755,13938.171,217.326,84990.043,0.0,1641.187
2004,11673.527,103.181,114372.198,-225.365,288595.101,41.225,-5.159,1783.835,39608.265,76185.391,0.0,43095.013,125864.054,2.2,8374.486,16190.594,220.431,85422.314,0.0,2237.231
2005,14054.852,112.353,117716.861,-392.605,285806.823,48.963,-6.019,1688.564,38420.063,77781.813,0.0,42060.619,124586.375,1.8,9071.702,18756.965,260.342,81841.466,0.0,2388.134
2006,17646.967,111.589,114373.151,-1459.759,291583.124,48.82,-5.685,1722.356,37993.371,79295.861,0.0,43147.635,124875.056,1.6,10418.506,22887.096,305.006,86145.682,0.0,2693.379
2007,20177.853,119.996,112230.251,-1423.474,277255.683,48.51,-5.255,1820.206,38898.925,76495.034,0.0,36251.247,113071.307,0.0,10916.499,26482.789,338.301,86109.091,0.0,3482.975
2008,20978.477,112.353,109734.103,-1728.289,278546.493,68.047,-5.852,1757.782,37544.001,77161.91,0.0,38304.815,119209.328,0.0,12209.014,27567.43,384.685,80108.009,0.0,3558.469
2009,20911.049,142.925,102167.739,-1055.288,259688.595,75.213,-5.708,1636.371,36514.246,72731.085,0.0,34733.2,111915.105,0.0,11865.506,27522.863,451.395,72071.598,0.0,3389.51
2010,23993.767,155.919,96598.673,-1285.899,271298.089,88.421,-6.353,1801.634,36736.301,75904.42,0.0,36200.8,113187.112,0.0,13851.844,31267.615,480.845,79075.728,0.0,3314.445
2011,23711.598,158.976,94387.111,-323.732,260645.311,79.44,-5.685,1519.518,38052.842,69595.685,0.0,27807.2,109411.977,0.0,12921.73,32438.432,549.369,77965.871,0.0,4287.016
2012,26416.531,171.205,96094.871,-1766.294,262241.787,93.03,-5.995,1870.593,39974.394,69819.018,0.0,25618.6,109555.286,0.0,14286.949,36452.88,570.889,79918.633,0.0,4443.68
2013,26781.142,163.562,94477.748,-2768.1,269202.809,147.893,-3.798,1977.472,39534.137,73101.739,0.0,25052.2,112089.375,0.0,14301.782,37632.136,576.168,81561.127,0.0,4534.566
2014,25784.91,159.74,93026.074,-2913.586,255330.238,182.048,-3.368,1684.179,38328.914,63374.143,0.0,25010.7,109724.02,0.0,12701.658,37454.527,619.614,79604.753,0.0,5029.837
2015,25933.362,162.797,95060.623,-4151.505,256374.243,212.764,-3.463,1631.642,38130.777,65154.093,0.0,23636.344,109861.657,0.0,12799.178,39929.125,662.63,79414.733,0.0,6932.416
2016,25668.531,141.397,95695.132,-4344.368,260281.47,267.77,-3.105,1766.638,36764.345,70329.903,0.0,21794.7,110772.214,0.0,12295.381,39834.021,661.484,77130.836,0.0,6872.227
2017,25956.141,152.861,94622.051,-4510.662,261895.758,255.47,-2.962,1732.588,36766.035,75341.894,0.0,19654.7,113172.073,0.0,12382.345,42513.944,675.289,71308.498,0.0,9087.962
2018,26238.588,158.976,89117.558,-4190.542,253782.46,301.782,0.0,1521.324,36224.104,73552.197,0.0,19571.0,108463.734,0.0,12760.366,43509.159,763.113,69738.493,0.0,9454.084
2019,26421.967,146.747,88720.609,-2808.856,244992.984,333.309,0.0,1696.561,28459.595,75620.41,0.0,19332.0,109974.225,0.0,12903.841,45314.506,729.388,56465.035,0.0,10824.936
2020,27138.049,101.653,85430.299,-1636.199,222202.725,373.03,0.0,1609.716,23406.286,74599.95,0.0,16576.8,99459.457,0.0,12635.617,47025.919,765.668,44655.002,0.0,11358.727
2021,29258.121,90.188,85047.563,-1597.163,231551.283,396.938,0.0,1690.198,27528.63,77181.74,0.0,17768.59,97759.956,0.0,13972.963,47045.905,735.263,53915.451,0.0,9816.767
2022,29123.05,70.316,91295.193,-2343.594,224792.128,414.708,0.0,1515.391,28512.283,66763.198,0.0,8938.0,100139.026,0.0,14313.151,49044.276,837.035,55683.123,0.0,10732.244
2023,27650.785,69.552,80219.203,793.207,203527.189,397.511,0.0,1710.576,21850.522,64061.598,0.0,1859.0,93499.661,0.0,12670.87,49216.219,784.657,42378.463,0.0,12084.093
